listing_id,listing_type,listing_name,room_type,superhost,cleaning_fee,ttm_avg_rate
10704,Private room in townhouse,"Cosy Room Superhost 5* Breakfast, No cleaning fee!",private_room,False,27.0,87.0
14066,Private room in townhouse,"Sunny Serenity 5* Breakfast, No cleaning fee!",private_room,False,30.0,102.6
382870,Entire condo,2 Bedroom ~ Rittenhouse Sq~ Downtown Philly!,entire_home,True,0.0,259.2
493612,Entire townhouse,AnVi Haven Convention/Center City,entire_home,True,350.0,444.7
697188,Private room in home,"Pri. BdRm/Ample Parking, Oasis near Univ. City",private_room,True,179.0,46.7
702879,Entire guest suite,Private Suite in Historic West Philly Home,entire_home,False,19.0,124.4
713029,Private room in townhouse,Location! Location! Location!  I,private_room,True,0.0,73.4
818937,Private room in townhouse,Walkable Pvt Bed & Bath. Historic Home,private_room,True,0.0,103.8
999068,Entire townhouse,Rittenhouse★ROOFDECK★4BR★2800SF★GR8 for FAMILY,entire_home,True,0.0,412.4
1084397,Private room in guest suite,Across the street from Metro train station. Room 2,private_room,True,278.0,26.6
1122607,Entire rental unit,Beautiful G-town Kid-Friendly; TOYS and costumes!,entire_home,False,150.0,99.8
1159889,Entire rental unit,3F Center City / Rittenhouse Square - Monthly,entire_home,True,0.0,61.8
1198562,Entire rental unit,Rittenhouse Square & Center City 2F,entire_home,True,0.0,66.5
1202585,Entire loft,Rittenhouse / Center City bi-level charming block!,entire_home,True,110.0,78.2
1251770,Entire rental unit,Rittenhouse / Center City - 2 bdrm - with deck!,entire_home,True,,96.9
1307688,Private room in rental unit,AnviHaven Large Luxurious 2bd Convention Center,private_room,True,150.0,259.0
1557627,Entire townhouse,Art Museum Area Stunning Studio,entire_home,True,20.0,125.9
1596069,Entire condo,Rittenhouse Downtown Philly~ 12 years SuperHosting,entire_home,True,0.0,125.5
1813269,Private room in home,Across street from Metro station 1,private_room,True,25.0,24.2
1902598,Entire rental unit,Rittenhouse Square Center City Studio 3R,entire_home,True,0.0,59.8
